Card Number,Print Total,Pokemon Number,Name,Type,Set Name,Normal Price,Reverse Holo Price,Holo Price
48,198,180,Flaaffy,Lightning,Chilling Reign,0.03,0.14,0,2022/06/17
70,236,135,Jolteon,Lightning,Cosmic Eclipse,0.21,0.72,0,2022/06/17
55,185,595,Joltik,Lightning,Vivid Voltage,0.02,0.19,0,2022/06/17
69,202,171,Lanturn,Lightning,Sword & Shield,0.16,0.34,0,2022/06/17
32,72,404,Luxio,Lightning,Shining Fates,0.03,0.18,0,2022/06/17
52,162,81,Magnemite,Lightning,BREAKthrough,0.18,0.32,0,2022/06/17
68,236,81,Magnemite,Lightning,Cosmic Eclipse,0.09,0.26,0,2022/06/17
53,162,82,Magneton,Lightning,BREAKthrough,0.22,0.41,0,2022/06/17
52,185,310,Manectric,Lightning,Vivid Voltage,0.11,0.28,0,2022/06/17
47,198,179,Mareep,Lightning,Chilling Reign,0.03,0.17,0,2022/06/17
35,72,877,Morpeko,Lightning,Shining Fates,0.03,0.17,0,2022/06/17
36,72,877,Morpeko,Lightning,Shining Fates,0.03,0.18,0,2022/06/17
55,168,741,Oricorio,Lightning,Celestial Storm,0.22,0.28,0,2022/06/17
48,162,25,Pikachu,Lightning,BREAKthrough,0.48,3.27,0,2022/06/17
30,111,25,Pikachu,Lightning,Crimson Invasion,0.24,0.98,0,2022/06/17
47,113,311,Plusle,Lightning,Legendary Treasures,0.3,2.93,0,2022/06/17
29,98,479,Rotom,Lightning,Ancient Origins,0.11,0.24,0,2022/06/17
34,72,479,Rotom,Lightning,Shining Fates,0.04,0.14,0,2022/06/17
31,72,403,Shinx,Lightning,Shining Fates,0.04,0.19,0,2022/06/17
74,236,777,Togedemaru,Lightning,Cosmic Eclipse,0.09,0.22,0,2022/06/17
47,147,777,Togedemaru,Lightning,Burning Shadows,0.05,0.24,0,2022/06/17
62,160,602,Tynamo,Lightning,Primal Clash,0.13,0.26,0,2022/06/17
47,168,100,Voltorb,Lightning,Celestial Storm,0.14,0.31,0,2022/06/17
45,185,100,Voltorb,Lightning,Vivid Voltage,0.02,0.14,0,2022/06/17
51,198,523,Zebstrika,Lightning,Chilling Reign,0.07,0.17,0,2022/06/17
45,181,523,Zebstrika,Lightning,Team Up,0.24,0.44,0,2022/06/17
54,185,523,Zebstrika,Lightning,Vivid Voltage,0.04,0.16,0,2022/06/17
63,198,354,Banette,Psychic,Chilling Reign,0.11,0.13,0,2022/06/17
55,198,92,Gastly,Psychic,Chilling Reign,0.03,0.11,0,2022/06/17
57,198,94,Gengar,Psychic,Chilling Reign,0,0.74,0.59,2022/06/17
65,198,622,Golett,Psychic,Chilling Reign,0.02,0.12,0,2022/06/17
66,198,623,Golurk,Psychic,Chilling Reign,0.11,0.12,0,2022/06/17
71,198,856,Hatenna,Psychic,Chilling Reign,0.02,0.11,0,2022/06/17
73,198,858,Hatterene,Psychic,Chilling Reign,0,0.31,0.23,2022/06/17
72,198,857,Hattrem,Psychic,Chilling Reign,0.02,0.15,0,2022/06/17
69,198,686,Inkay,Psychic,Chilling Reign,0.08,0.24,0,2022/06/17
60,198,281,Kirlia,Psychic,Chilling Reign,0.04,0.15,0,2022/06/17
70,198,687,Malamar,Psychic,Chilling Reign,0.4,0.48,0,2022/06/17
59,198,280,Ralts,Psychic,Chilling Reign,0.04,0.15,0,2022/06/17
62,198,353,Shuppet,Psychic,Chilling Reign,0.02,0.1,0,2022/06/17
54,198,79,Galarian Slowpoke,Psychic,Chilling Reign,0.02,0.15,0,2022/06/17
68,198,685,Slurpuff,Psychic,Chilling Reign,0.08,0.14,0,2022/06/17
67,198,684,Swirlix,Psychic,Chilling Reign,0.02,0.1,0,2022/06/17
78,185,716,Xerneas,Psychic,Vivid Voltage,0,0.33,0.26,2022/06/17
67,185,353,Shuppet,Psychic,Vivid Voltage,0.05,0.15,0,2022/06/17
62,147,770,Palossand,Psychic,Burning Shadows,0,0.24,0.29,2022/06/17
67,189,39,Jigglypuff,Psychic,Darkness Ablaze,0.05,0.19,0,2022/06/17
55,116,562,Yamask,Psychic,Plasma Freeze,0.21,0.48,0,2022/06/17
30,98,201,Unown,Psychic,Ancient Origins,0.2,0.51,0,2022/06/17
22,198,351,Castform Sunny Form,Fire,Chilling Reign,0.05,0.15,0,2022/06/17
28,198,815,Cinderace,Fire,Chilling Reign,0,0.33,0.25,2022/06/17
23,198,636,Larvesta,Fire,Chilling Reign,0.02,0.1,0,2022/06/17
27,198,814,Raboot,Fire,Chilling Reign,0.03,0.16,0,2022/06/17
26,198,813,Scorbunny,Fire,Chilling Reign,0.02,0.13,0,2022/06/17
24,198,637,Volcarona,Fire,Chilling Reign,0.07,0.12,0,2022/06/17
13,111,322,Numel,Fire,Crimson Invasion,0.08,0.13,0,2022/06/17
94,198,109,Koffing,Darkness,Chilling Reign,0.03,0.14,0,2022/06/17
109,185,553,Krookodile,Darkness,Vivid Voltage,0.16,0.25,0,2022/06/17
101,198,211,Qwilfish,Darkness,Chilling Reign,0.03,0.11,0,2022/06/17
107,198,545,Scolipede,Darkness,Chilling Reign,0.09,0.3,0,2022/06/17
98,198,199,Galarian Slowking,Darkness,Chilling Reign,0,0.52,0.24,2022/06/17
103,198,442,Spiritomb,Darkness,Chilling Reign,0.06,0.25,0,2022/06/17
105,198,543,Venipede,Darkness,Chilling Reign,0.02,0.11,0,2022/06/17
106,198,544,Whirlipede,Darkness,Chilling Reign,0.03,0.1,0,2022/06/17
34,73,24,Arbok,Darkness,Champion's Path,0.06,0.19,0,2022/06/17
103,189,168,Ariados,Darkness,Darkness Ablaze,0.07,0.2,0,2022/06/17
75,116,633,Deino,Darkness,Plasma Freeze,0.34,0.46,0,2022/06/17
122,202,452,Drapion,Darkness,Sword & Shield,0.16,0.3,0,2022/06/17
41,72,109,Koffing,Darkness,Shining Fates,0.08,0.25,0,2022/06/17
109,185,553,Krookodile,Darkness,Vivid Voltage,0.16,0.25,0,2022/06/17
40,73,510,Liepard,Darkness,Champion's Path,0.08,0.18,0,2022/06/17
36,73,264,Galarian Linoone,Darkness,Champion's Path,0.05,0.18,0,2022/06/17
78,149,52,Alolan Meowth,Darkness,Sun & Moon,0.06,0.24,0,2022/06/17
104,185,262,Mightyena,Darkness,Vivid Voltage,0.04,0.18,0,2022/06/17
47,72,827,Nickit,Darkness,Shining Fates,0.03,0.14,0,2022/06/17
46,73,827,Nickit,Darkness,Champion's Path,0.05,0.18,0,2022/06/17
103,185,261,Poochyena,Darkness,Vivid Voltage,0.03,0.13,0,2022/06/17
106,189,509,Purrloin,Darkness,Darkness Ablaze,0.04,0.22,0,2022/06/17
101,198,211,Qwilfish,Darkness,Chilling Reign,0.03,0.11,0,2022/06/17
105,185,302,Sableye,Darkness,Vivid Voltage,0.02,0.14,0,2022/06/17
69,146,551,Sandile,Darkness,XY,0.18,0.41,0,2022/06/17
83,149,551,Sandile,Darkness,Sun & Moon,0.03,0.22,0,2022/06/17
107,198,545,Scolipede,Darkness,Chilling Reign,0.09,0.3,0,2022/06/17
41,73,559,Scraggy,Darkness,Champion's Path,0.04,0.23,0,2022/06/17
102,198,336,Seviper,Darkness,Chilling Reign,0.07,0.13,0,2022/06/17
86,168,215,Sneasel,Darkness,Celestial Storm,0.16,0.45,0,2022/06/17
43,72,167,Spinarak,Darkness,Shining Fates,0.03,0.16,0,2022/06/17
103,198,442,Spiritomb,Darkness,Chilling Reign,0.06,0.25,0,2022/06/17
110,185,568,Trubbish,Darkness,Vivid Voltage,0.03,0.15,0,2022/06/17
105,198,543,Venipede,Darkness,Chilling Reign,0.02,0.11,0,2022/06/17
96,198,110,Galarian Weezing,Darkness,Chilling Reign,0.18,0.32,0,2022/06/17
95,198,110,Weezing,Darkness,Chilling Reign,0.11,0.17,0,2022/06/17
106,198,544,Whirlipede,Darkness,Chilling Reign,0.03,0.1,0,2022/06/17
35,73,263,Galarian Zigzagoon,Darkness,Champion's Path,0.05,0.19,0,2022/06/17
22,198,351,Castform Sunny Form,Fire,Chilling Reign,0.05,0.15,0,2022/06/17
39,202,851,Centiskorch,Fire,Sword & Shield,0.18,0.48,0,2022/06/17
9,108,4,Charmander,Fire,Evolutions,0.08,1.18,0,2022/06/17
23,185,4,Charmander,Fire,Vivid Voltage,0.12,0.22,0,2022/06/17
19,147,5,Charmeleon,Fire,Burning Shadows,0.09,0.33,0,2022/06/17
5,70,256,Combusken,Fire,Dragon Majesty,0.21,0.43,0,2022/06/17
18,162,155,Cyndaquil,Fire,BREAKthrough,0.25,0.77,0,2022/06/17
28,236,244,Entei,Fire,Cosmic Eclipse,0.38,0.49,0,2022/06/17
13,98,136,Flareon,Fire,Ancient Origins,0.44,0.81,0,2022/06/17
29,214,727,Incineroar,Fire,Unbroken Bonds,0.28,0.45,0,2022/06/17
34,236,636,Larvesta,Fire,Cosmic Eclipse,0.15,0.37,0,2022/06/17
23,198,636,Larvesta,Fire,Chilling Reign,0.02,0.1,0,2022/06/17
16,98,636,Larvesta,Fire,Ancient Origins,0.09,0.3,0,2022/06/17
12,101,636,Larvesta,Fire,Plasma Blast,0.14,0.32,0,2022/06/17
28,185,219,Magcargo,Fire,Vivid Voltage,0.04,0.14,0,2022/06/17
21,236,126,Magmar,Fire,Unified Minds,0.1,0.3,0,2022/06/17
20,108,126,Magmar,Fire,Evolutions,0.13,0.29,0,2022/06/17
22,147,513,Pansear,Fire,Burning Shadows,0.04,0.09,0,2022/06/17
37,236,668,Pyroar,Fire,Cosmic Eclipse,0.16,0.4,0,2022/06/17
27,198,814,Raboot,Fire,Chilling Reign,0.03,0.16,0,2022/06/17
27,163,757,Salandit,Fire,Battle Styles,0.05,0.22,0,2022/06/17
14,70,758,Salazzle,Fire,Dragon Majesty,0.23,0.49,0,2022/06/17
26,198,813,Scorbunny,Fire,Chilling Reign,0.02,0.13,0,2022/06/17
9,73,850,Sizzlipede,Fire,Champion's Path,0.05,0.19,0,2022/06/17
23,149,324,Torkoal,Fire,Sun & Moon,0.07,0.18,0,2022/06/17
26,147,776,Turtonator,Fire,Burning Shadows,0.2,0.27,0,2022/06/17
24,198,637,Volcarona,Fire,Chilling Reign,0.07,0.12,0,2022/06/17
18,124,37,Vulpix,Fire,Dragons Exalted,0.56,1.74,0,2022/06/17
6,73,37,Vulpix,Fire,Champion's Path,0.09,0.22,0,2022/06/17
20,160,37,Vulpix,Fire,Primal Clash,0.24,0.69,0,2022/06/17
14,108,37,Vulpix,Fire,Evolutions,0.08,0.23,0,2022/06/17
91,198,852,Clobbopus,Fighting,Chilling Reign,0.03,0.11,0,2022/06/17
84,198,739,Crabrawler,Fighting,Chilling Reign,0.02,0.1,0,2022/06/17
76,198,50,Diglett,Fighting,Chilling Reign,0.02,0.09,0,2022/06/17
77,198,51,Dugtrio,Fighting,Chilling Reign,0.07,0.11,0,2022/06/17
81,198,475,Gallade,Fighting,Chilling Reign,0.08,0.1,0,2022/06/17
92,198,853,Grapploct,Fighting,Chilling Reign,0,0.25,0.19,2022/06/17
93,198,891,Kubfu,Fighting,Chilling Reign,0.02,0.12,0,2022/06/17
87,198,745,Lycanroc,Fighting,Chilling Reign,0,0.29,0.23,2022/06/17
88,198,766,Passimian,Fighting,Chilling Reign,0.16,0.18,0,2022/06/17
86,198,744,Rockruff,Fighting,Chilling Reign,0.03,0.14,0,2022/06/17
83,198,867,Galarian Runerigus,Fighting,Chilling Reign,0,0.31,0.21,2022/06/17
79,198,865,Galarian Sirfetch'd,Fighting,Chilling Reign,0.08,0.11,0,2022/06/17
70,149,525,Boldore,Fighting,Sun & Moon,0.08,0.19,0,2022/06/17
91,198,852,Clobbopus,Fighting,Chilling Reign,0.03,0.11,0,2022/06/17
85,198,740,Crabominable,Fighting,Chilling Reign,0.02,0.09,0,2022/06/17
74,147,740,Crabominable,Fighting,Burning Shadows,0.14,0.32,0,2022/06/17
84,198,739,Crabrawler,Fighting,Chilling Reign,0.02,0.1,0,2022/06/17
72,149,739,Crabrawler,Fighting,Sun & Moon,0.03,0.18,0,2022/06/17
76,198,50,Diglett,Fighting,Chilling Reign,0.02,0.09,0,2022/06/17
91,185,529,Drilbur,Fighting,Vivid Voltage,0.02,0.12,0,2022/06/17
77,198,51,Dugtrio,Fighting,Chilling Reign,0.07,0.11,0,2022/06/17
78,198,83,Galarian Farfetch'd,Fighting,Chilling Reign,0.02,0.11,0,2022/06/17
81,198,475,Gallade,Fighting,Chilling Reign,0.08,0.1,0,2022/06/17
71,163,207,Gligar,Fighting,Battle Styles,0.02,0.14,0,2022/06/17
113,202,853,Grapploct,Fighting,Sword & Shield,0.19,0.36,0,2022/06/17
66,146,533,Gurdurr,Fighting,XY,0.23,0.42,0,2022/06/17
88,185,237,Hitmontop,Fighting,Vivid Voltage,0.03,0.16,0,2022/06/17
93,198,891,Kubfu,Fighting,Chilling Reign,0.02,0.12,0,2022/06/17
74,168,246,Larvitar,Fighting,Celestial Storm,0.11,0.25,0,2022/06/17
86,189,246,Larvitar,Fighting,Darkness Ablaze,0.03,0.17,0,2022/06/17
40,82,67,Dark Machoke,Fighting,Team Rocket,0,0,0,2022/06/17
24,73,66,Machop,Fighting,Champion's Path,0.06,0.23,0,2022/06/17
67,149,296,Makuhita,Fighting,Sun & Moon,0.05,0.14,0,2022/06/17
50,111,56,Mankey,Fighting,Crimson Invasion,0.05,0.23,0,2022/06/17
96,185,749,Mudbray,Fighting,Vivid Voltage,0.03,0.19,0,2022/06/17
78,147,750,Mudsdale,Fighting,Burning Shadows,0.19,0.2,0,2022/06/17
116,236,536,Palpitoad,Fighting,Cosmic Eclipse,0.05,0.26,0,2022/06/17
73,149,766,Passimian,Fighting,Sun & Moon,0.06,0.2,0,2022/06/17
88,198,766,Passimian,Fighting,Chilling Reign,0.16,0.18,0,2022/06/17
86,185,231,Phanpy,Fighting,Vivid Voltage,0.05,0.19,0,2022/06/17
87,189,247,Pupitar,Fighting,Darkness Ablaze,0.03,0.2,0,2022/06/17
84,185,195,Quagsire,Fighting,Vivid Voltage,0.1,0.26,0,2022/06/17
65,147,111,Rhyhorn,Fighting,Burning Shadows,0.07,0.19,0,2022/06/17
90,185,447,Riolu,Fighting,Vivid Voltage,0.03,0.21,0,2022/06/17
94,185,744,Rockruff,Fighting,Vivid Voltage,0.03,0.14,0,2022/06/17
29,73,744,Rockruff,Fighting,Champion's Path,0.04,0.16,0,2022/06/17
86,198,744,Rockruff,Fighting,Chilling Reign,0.03,0.14,0,2022/06/17
54,108,27,Sandshrew,Fighting,Evolutions,0.06,0.27,0,2022/06/17
85,185,213,Shuckle,Fighting,Vivid Voltage,0.03,0.16,0,2022/06/17
79,198,865,Galarian Sirfetch'd,Fighting,Chilling Reign,0.08,0.11,0,2022/06/17
114,202,874,Stonjourner,Fighting,Sword & Shield,0.17,0.32,0,2022/06/17
73,163,532,Timburr,Fighting,Battle Styles,0.03,0.16,0,2022/06/17
59,114,532,Timburr,Fighting,Black & White,0.24,0.75,0,2022/06/17
107,236,328,Trapinch,Fighting,Cosmic Eclipse,0.15,0.25,0,2022/06/17
40,72,328,Trapinch,Fighting,Shining Fates,0.02,0.14,0,2022/06/17
83,185,194,Wooper,Fighting,Vivid Voltage,0.03,0.16,0,2022/06/17
82,198,562,Galarian Yamask,Fighting,Chilling Reign,0.02,0.09,0,2022/06/17
87,192,869,Alcremie,Psychic,Rebel Clash,0.2,0.64,0,2022/06/17
57,163,343,Baltoy,Psychic,Battle Styles,0.02,0.15,0,2022/06/17
63,198,354,Banette,Psychic,Chilling Reign,0.11,0.13,0,2022/06/17
72,185,358,Chimecho,Psychic,Vivid Voltage,0.06,0.16,0,2022/06/17
43,111,358,Chimecho,Psychic,Crimson Invasion,0.08,0.17,0,2022/06/17
63,185,35,Clefairy,Psychic,Vivid Voltage,0.03,0.16,0,2022/06/17
64,185,36,Clefable,Psychic,Vivid Voltage,0.14,0.23,0,2022/06/17
54,147,453,Croagunk,Psychic,Burning Shadows,0.05,0.2,0,2022/06/17
77,185,702,Dedenne,Psychic,Vivid Voltage,0.02,0.18,0,2022/06/17
78,189,702,Dedenne,Psychic,Darkness Ablaze,0.18,0.29,0,2022/06/17
59,149,96,Drowzee,Psychic,Sun & Moon,0.04,0.2,0,2022/06/17
49,108,96,Drowzee,Psychic,Evolutions,0.06,0.34,0,2022/06/17
84,236,356,Dusclops,Psychic,Cosmic Eclipse,0.18,0.33,0,2022/06/17
70,185,356,Dusclops,Psychic,Vivid Voltage,0.04,0.18,0,2022/06/17
83,236,355,Duskull,Psychic,Cosmic Eclipse,0.12,0.29,0,2022/06/17
69,185,355,Duskull,Psychic,Vivid Voltage,0.02,0.17,0,2022/06/17
47,146,23,Ekans,Psychic,XY,0.18,1.32,0,2022/06/17
61,198,282,Gardevoir,Psychic,Chilling Reign,0,0.48,0.42,2022/06/17
55,198,92,Gastly,Psychic,Chilling Reign,0.03,0.11,0,2022/06/17
65,185,203,Girafarig,Psychic,Vivid Voltage,0.02,0.14,0,2022/06/17
65,198,622,Golett,Psychic,Chilling Reign,0.02,0.12,0,2022/06/17
89,236,622,Golett,Psychic,Cosmic Eclipse,0.07,0.27,0,2022/06/17
66,198,623,Golurk,Psychic,Chilling Reign,0.11,0.12,0,2022/06/17
74,189,575,Gothorita,Psychic,Darkness Ablaze,0.04,0.19,0,2022/06/17
39,111,574,Gothita,Psychic,Furious Fists,0.14,0.21,0,2022/06/17
42,111,326,Grumpig,Psychic,Crimson Invasion,0.09,0.25,0,2022/06/17
57,168,316,Gulpin,Psychic,Celestial Storm,0.12,0.27,0,2022/06/17
18,73,856,Hatenna,Psychic,Champion's Path,0.04,0.21,0,2022/06/17
72,198,857,Hattrem,Psychic,Chilling Reign,0.02,0.15,0,2022/06/17
37,111,93,Haunter,Psychic,Crimson Invasion,0.13,0.41,0,2022/06/17
56,198,93,Haunter,Psychic,Chilling Reign,0.05,0.14,0,2022/06/17
69,198,686,Inkay,Psychic,Chilling Reign,0.08,0.24,0,2022/06/17
60,198,281,Kirlia,Psychic,Chilling Reign,0.04,0.15,0,2022/06/17
70,198,687,Malamar,Psychic,Chilling Reign,0.4,0.48,0,2022/06/17
96,236,778,Mimikyu,Psychic,Cosmic Eclipse,0.32,1.72,0,2022/06/17
39,111,200,Misdreavus,Psychic,Crimson Invasion,0.13,0.25,0,2022/06/17
88,202,518,Musharna,Psychic,Sword & Shield,0.16,0.38,0,2022/06/17
43,108,32,Nidoran ♂,Psychic,Evolutions,0.04,0.33,0,2022/06/17
54,146,708,Phantump,Psychic,XY,0.22,0.4,0,2022/06/17
59,198,280,Ralts,Psychic,Chilling Reign,0.04,0.15,0,2022/06/17
61,147,769,Sandygast,Psychic,Burning Shadows,0.03,0.25,0,2022/06/17
58,147,545,Scolipede,Psychic,Burning Shadows,0.23,0.24,0,2022/06/17
50,147,336,Seviper,Psychic,Burning Shadows,0.13,0.26,0,2022/06/17
62,198,353,Shuppet,Psychic,Chilling Reign,0.02,0.1,0,2022/06/17
67,185,353,Shuppet,Psychic,Vivid Voltage,0.05,0.15,0,2022/06/17
54,198,79,Galarian Slowpoke,Psychic,Chilling Reign,0.02,0.15,0,2022/06/17
68,198,685,Slurpuff,Psychic,Chilling Reign,0.08,0.14,0,2022/06/17
67,198,684,Swirlix,Psychic,Chilling Reign,0.02,0.1,0,2022/06/17
74,185,528,Swoobat,Psychic,Vivid Voltage,0.02,0.12,0,2022/06/17
70,160,72,Tentacool,Psychic,Primal Clash,0.12,0.46,0,2022/06/17
67,113,568,Trubbish,Psychic,Legendary Treasures,0.21,2.47,0,2022/06/17
76,185,547,Whimsicott,Psychic,Vivid Voltage,0.14,0.37,0,2022/06/17
73,185,527,Woobat,Psychic,Vivid Voltage,0.03,0.15,0,2022/06/17
135,192,681,Aegislash,Metal,Rebel Clash,0.35,0.43,0,2022/06/17
111,198,306,Aggron,Metal,Chilling Reign,0.11,0.28,0,2022/06/17
109,198,304,Aron,Metal,Chilling Reign,0.02,0.1,0,2022/06/17
101,163,436,Bronzor,Metal,Battle Styles,0.04,0.19,0,2022/06/17
49,72,878,Cufant,Metal,Shining Fates,0.02,0.18,0,2022/06/17
122,185,530,Excadrill,Metal,Vivid Voltage,0.04,0.18,0,2022/06/17
123,185,597,Ferroseed,Metal,Vivid Voltage,0.03,0.13,0,2022/06/17
124,185,598,Ferrothorn,Metal,Vivid Voltage,0.02,0.1,0,2022/06/17
114,185,205,Forretress,Metal,Vivid Voltage,0.12,0.21,0,2022/06/17
126,189,600,Klang,Metal,Darkness Ablaze,0.03,0.16,0,2022/06/17
122,189,305,Lairon,Metal,Darkness Ablaze,0.03,0.19,0,2022/06/17
110,198,305,Lairon,Metal,Chilling Reign,0.03,0.12,0,2022/06/17
66,111,305,Lairon,Metal,Crimson Invasion,0.07,0.25,0,2022/06/17
131,214,801,Magearna,Metal,Lost Thunder,0.21,0.39,0,2022/06/17
112,185,52,Galarian Meowth,Metal,Vivid Voltage,0.02,0.17,0,2022/06/17
117,185,375,Metang,Metal,Vivid Voltage,0.04,0.18,0,2022/06/17
127,192,863,Galarian Perrserker,Metal,Rebel Clash,0.17,0.43,0,2022/06/17
113,185,863,Galarian Perrserker,Metal,Vivid Voltage,0.14,0.25,0,2022/06/17
125,185,618,Galarian Stunfisk,Metal,Vivid Voltage,0.04,0.14,0,2022/06/17
121,198,351,Castform,Colorless,Chilling Reign,0.03,0.12,0,2022/06/17
128,198,820,Greedent,Colorless,Chilling Reign,0,0.28,0.2,2022/06/17
136,185,294,Loudred,Colorless,Vivid Voltage,0.05,0.16,0,2022/06/17
